path_sparsity,mem_footprint,title_base,m,n,nnz,computed_sparsity,nnz_per_row_avg,nnz_per_row_std,bw_avg_n,nnz_max_diff,num_neigh_avg,cross_row_similarity_avg,GFLOPS-AOCL-k=256,GFLOPS-COO_ColInd0_Vec-k=256,GFLOPS-COO_Hilbert_Seg_NoAtomic-k=256,GFLOPS-COO_RowSplit_Vec-k=256,GFLOPS-COO_Z_Seg_NoAtomic-k=256,GFLOPS-MKL_IE-k=256
0.95,0.2532,body_decoder_layer_2_encdec_attention_multihead_attention_k,512,512,21954,0.9162521362,42.87890625,25.2552010496,0.8157196045,2.3349731256,0.2343080988,0.2951854383,282.1,486.59,323.09,407.32,303.05,292.3
0.95,0.14499,body_decoder_layer_2_encdec_attention_multihead_attention_output_transform,512,512,12498,0.9523239136,24.41015625,9.5408115143,0.8885269165,2.0724915987,0.110737718,0.1921660014,294.43,396.86,286.4,348.78,279.36,270.6
0.95,0.06444,body_decoder_layer_2_encdec_attention_multihead_attention_q,512,512,5460,0.9791717529,10.6640625,8.179888966,0.6515197754,3.96996337,0.0736263736,0.0817851207,162.4,255.94,187.94,217.93,184.57,177.12
0.95,0.05758,body_decoder_layer_2_encdec_attention_multihead_attention_v,512,512,4860,0.9814605713,9.4921875,12.0501854847,0.4207191467,4.4781893004,0.1008230453,0.1268938231,95.73,203.1,153.57,186.27,156.43,86.93
0.95,0.22932,body_decoder_layer_2_ffn_conv1,2048,512,19355,0.9815416336,9.4506835938,20.0987189988,0.1956510544,9.0521828985,0.201084991,0.2502582712,186.88,321.37,244.55,280.64,255.48,201.48
0.95,0.23227,body_decoder_layer_2_ffn_conv2,512,2048,20125,0.9808073044,39.306640625,12.9534063918,0.9513111115,2.256447205,0.044621118,0.1352932379,260.01,354.22,241.9,294.63,235.91,224.34
0.95,0.33838,body_decoder_layer_2_self_attention_multihead_attention_k,512,512,29397,0.8878593445,57.416015625,29.3907666687,0.8658447266,2.1350137769,0.2847909651,0.3392885016,325.09,527.6,353.65,440.28,322.31,258.44
0.95,0.30512,body_decoder_layer_2_self_attention_multihead_attention_output_transform,512,512,26491,0.8989448547,51.740234375,15.8455959953,0.9582252502,2.3436261372,0.2326073006,0.2952312913,358.38,513.74,294.93,432.29,336.56,269.5
0.95,0.08181,body_decoder_layer_2_self_attention_multihead_attention_q,512,512,6978,0.9733810425,13.62890625,9.3359072633,0.7326049805,3.7692748639,0.0799656062,0.0959000581,188.06,284.36,211.65,255.13,204.1,216.25
0.95,0.14217,body_decoder_layer_2_self_attention_multihead_attention_v,512,512,12252,0.9532623291,23.9296875,14.7020850954,0.796257019,1.7580803134,0.1299379693,0.1642206925,253.75,390.33,271.6,330.03,256.07,268.03
0.95,0.04991,body_encoder_layer_2_ffn_conv1,2048,512,3678,0.9964923859,1.7958984375,9.6801051803,0.0361890793,60.2506797172,0.2234910277,0.3209354163,97.31,156.68,138.82,145.54,143.57,87.96
0.95,0.03669,body_encoder_layer_2_ffn_conv2,512,2048,3035,0.9971055984,5.927734375,4.6330854519,0.5671386719,4.9044481054,0.0144975288,0.1077490194,128.19,165.04,137.15,150.48,130.28,127.13
0.95,0.04682,body_encoder_layer_2_self_attention_multihead_attention_k,512,512,3920,0.9850463867,7.65625,18.8906960813,0.2332191467,19.506122449,0.2474489796,0.2261049226,97.85,180.33,151.15,156.37,149.3,84.43
0.95,0.07679,body_encoder_layer_2_self_attention_multihead_attention_output_transform,512,512,6539,0.9750556946,12.771484375,8.4924442144,0.59425354,2.9149717082,0.1520110109,0.2129215734,204.43,275.18,217.37,250.36,210.53,212.21
0.95,0.01677,body_encoder_layer_2_self_attention_multihead_attention_q,512,512,1294,0.9950637817,2.52734375,6.463783901,0.1638221741,25.5100463679,0.1452859351,0.0799782072,58.89,76.76,73.82,77.72,72.33,59.33
0.95,0.04666,body_encoder_layer_2_self_attention_multihead_attention_v,512,512,3906,0.9850997925,7.62890625,17.4235771135,0.2217407227,11.4526369688,0.1730670763,0.2050383319,74.58,194.25,167.88,180.32,168.17,60.95
